

  [00]  [01]  [02]  [03]  [04]  [05]  [06]  [07]  [08]  [09]  [10]  [11]  [12]  [13]  [14]  [15]  [16]  [17]  [18]
  [01]     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0    12
  [02]     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0    30
  [03]     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0    80
  [04]     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0    15
  [05]     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0  2014
  [06]     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
  [07]     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0 11011
  [08]     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
  [09]     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
  [10]     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0    90
  [11]     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0    60
  [12]     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0  1198
  [13]     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0   709
  [14]     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
  [15]     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0 13748
  [16]     0     0     0     0     0     0     0     0    24     0     0     0     0     0     0     0     0     0     2
  [17]     0     0     0     0     0     0     0     0    66     0     0     0     0     0     0     0     0     0     3
  [18]     0     0     0     0     0     0     0     0    37     0     6    17     4     2     0     0     0     0     3
  [19]     0     0     0     0     0     0     0     0     0     0     0     1     0     3     0     0     0     0     0
  [20]     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
  [21]     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
  [22]     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0   676
  [23]     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0   592
  [24]     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
  [25]     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
  [26]     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
  [27]     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
  [28]     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
  [29]     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
  [30]     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
  [31]     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
  [32]     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
  [33]     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
  [34]     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
  [35]     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
  [36]     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
           0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0


  [00]  [01]  [02]  [03]  [04]  [05]  [06]  [07]  [08]  [09]  [10]  [11]  [12]  [13]  [14]  [15]  [16]  [17]  [18]
  [01]     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0    10
  [02]     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0    30
  [03]     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0    80
  [04]     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0    18
  [05]     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0 10920
  [06]     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
  [07]     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0 11011
  [08]     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
  [09]     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
  [10]     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0   150
  [11]     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0   100
  [12]     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0  1204
  [13]     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0   688
  [14]     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
  [15]     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0 13748
  [16]     0     0     0     0     0     0     0    19    50   140   461  1172   446    23     0     0     0     0     2
  [17]     0     0     0     0     0     0     0     8   103   687  3464  3804  2930   416     0     0     0     0     3
  [18]     0     0     0     0     0     0     0     0    52   411  2856  3778  3045   463     0     0     0     0     3
  [19]     0     0     0     0     0     0     0     0     0    17   285  1174   564    46     0     0     0     0     0
  [20]     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
  [21]     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
  [22]     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0   665
  [23]     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0   600
  [24]     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
  [25]     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
  [26]     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
  [27]     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
  [28]     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
  [29]     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
  [30]     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
  [31]     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
  [32]     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
  [33]     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
  [34]     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
  [35]     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
  [36]     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
           0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0


  [00]  [01]  [02]  [03]  [04]  [05]  [06]  [07]  [08]  [09]  [10]  [11]  [12]  [13]  [14]  [15]  [16]  [17]  [18]
  [01]     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0    10
  [02]     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0    30
  [03]     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0    80
  [04]     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0    17
  [05]     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0 10446
  [06]     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
  [07]     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0 11011
  [08]     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
  [09]     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
  [10]     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0   150
  [11]     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0   100
  [12]     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0  1205
  [13]     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0   687
  [14]     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
  [15]     0     0     0     0     0     0     0     0     0     9     0     0     0     0     0     0     0     0 13748
  [16]     0     0     0     0     0     0     0     1    54   139   374  1026   410     8     0     0     0     0     2
  [17]     0     0     0     0     0     0     0    10   111   488  3036  3753  2935   313     0     0     0     0     3
  [18]     0     0     0     0     0     0     0     0    45   289  2435  3703  2980   315     0     0     0     0     3
  [19]     0     0     0     0     0     0     0     0     0    17   175   855   380    24     0     0     0     0     0
  [20]     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
  [21]     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
  [22]     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0   648
  [23]     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0   623
  [24]     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
  [25]     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
  [26]     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
  [27]     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
  [28]     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
  [29]     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
  [30]     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
  [31]     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
  [32]     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
  [33]     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
